crop,maturity_stage,hours_since_harvest,temperature_c,humidity_percent,ethylene_ppm,voc_index,co2_ppm,weight_loss_percent,spoilage_risk
Onion,Semi-Ripe,13,37.13,67.51,1.111,2.816,550.5,5.57,Low
Tomato,Semi-Ripe,58,32.92,68.95,1.484,3.103,374.2,3.27,Low
Banana,Unripe,74,31.48,62.71,0.406,0.249,411.8,0.98,Low
Tomato,Ripe,220,25.45,73.55,0.802,1.547,661.3,7.97,Medium
Brinjal,Semi-Ripe,105,23.47,84.19,0.466,3.126,556.7,6.2,Low
Mango,Unripe,186,30.16,75.77,1.684,1.098,606.8,3.1,Medium
Tomato,Unripe,144,22.6,76.24,0.374,2.91,508.9,3.65,Low
Mango,Unripe,19,26.05,75.27,0.522,0.97,466.2,1.9,Low
Banana,Semi-Ripe,160,26.54,51.44,1.454,2.518,592.0,1.02,Low
Mango,Ripe,153,33.37,57.49,0.644,4.271,531.1,4.92,Low
Onion,Semi-Ripe,209,25.58,65.54,0.522,3.352,479.6,6.53,Medium
Onion,Unripe,221,17.24,59.29,1.886,0.464,330.3,6.33,Low
Onion,Unripe,141,29.02,55.23,1.941,3.433,614.5,4.25,Medium
Mango,Unripe,211,24.2,45.53,1.658,4.504,552.8,6.73,Medium
Mango,Unripe,33,27.17,51.84,1.811,5.577,427.2,0.85,Low
Banana,Unripe,147,26.65,64.92,0.85,3.023,641.5,7.54,Low
Onion,Unripe,139,25.91,67.17,0.867,0.999,529.3,2.78,Low
Banana,Ripe,41,30.16,58.48,0.635,2.978,531.6,1.8,Low
Mango,Ripe,129,20.87,68.95,1.125,4.256,606.1,3.01,Medium
Brinjal,Ripe,163,24.93,62.79,0.691,2.294,580.2,3.29,Medium
Tomato,Unripe,100,29.74,81.09,0.738,3.647,535.2,3.35,Low
Onion,Ripe,160,24.54,66.06,1.522,1.576,477.4,4.0,Low
Brinjal,Semi-Ripe,179,20.56,76.36,2.291,2.91,738.0,4.88,Medium
Banana,Unripe,141,29.67,70.44,1.322,0.1,411.9,2.72,Low
Tomato,Unripe,95,31.49,51.18,3.511,1.455,589.5,3.94,Low
Mango,Unripe,64,26.82,66.91,0.61,2.493,489.9,1.31,Low
Banana,Unripe,159,19.16,53.17,0.276,2.1,554.6,5.73,Low
Onion,Unripe,216,29.82,66.7,1.649,1.069,648.0,6.39,Medium
Banana,Semi-Ripe,111,20.36,59.06,0.583,1.95,462.6,3.82,Low
Onion,Ripe,121,28.24,72.58,0.826,2.863,572.2,2.78,Low
Banana,Unripe,219,23.45,51.89,0.29,2.405,531.9,5.69,Medium
Brinjal,Semi-Ripe,71,22.36,68.18,0.533,2.567,423.0,1.75,Low
Tomato,Unripe,194,25.23,74.87,0.349,3.305,651.0,4.89,Medium
Brinjal,Semi-Ripe,61,26.27,78.89,0.738,2.123,585.3,2.96,Low
Mango,Semi-Ripe,62,24.42,58.83,0.759,3.995,447.9,7.98,Low
Banana,Unripe,67,29.35,68.21,1.065,1.412,632.4,1.1,Low
Mango,Semi-Ripe,12,25.22,70.21,2.382,4.621,400.2,0.0,Low
Banana,Unripe,111,30.92,86.57,1.606,3.724,496.5,2.68,Medium
Brinjal,Semi-Ripe,85,28.12,50.22,0.321,2.108,448.5,0.43,Low
Mango,Ripe,55,24.21,57.07,1.531,2.182,590.2,1.85,Low
Tomato,Unripe,182,23.54,95.0,1.081,2.727,442.4,2.35,Medium
Brinjal,Semi-Ripe,124,20.41,64.72,0.934,3.159,591.0,2.36,Low
Banana,Ripe,47,28.16,45.31,0.984,3.704,571.3,1.15,Low
Onion,Semi-Ripe,46,25.58,61.01,1.154,1.025,455.0,4.79,Low
Brinjal,Ripe,195,17.51,34.77,0.616,2.981,719.6,4.75,Medium
Mango,Semi-Ripe,65,24.86,70.89,0.88,0.172,410.6,5.22,Low
Tomato,Semi-Ripe,95,23.4,77.72,2.29,2.305,330.9,3.71,Low
Banana,Unripe,28,33.3,57.06,0.611,4.099,602.7,4.51,Low
Brinjal,Ripe,193,20.19,62.35,0.486,0.941,300.0,4.27,Low
Brinjal,Ripe,86,21.23,79.08,0.958,0.741,679.0,6.4,Medium
Mango,Semi-Ripe,169,31.44,47.0,0.453,2.743,512.2,5.38,Low
Mango,Ripe,97,32.43,52.14,0.299,4.026,328.8,2.26,Low
Tomato,Semi-Ripe,193,24.02,65.26,0.786,2.858,386.2,5.93,Low
Brinjal,Unripe,97,24.47,58.97,2.757,0.405,303.9,3.71,Low
Mango,Unripe,215,29.46,64.47,0.973,0.649,545.9,4.72,Medium
Brinjal,Semi-Ripe,174,17.69,52.83,1.133,2.608,340.8,4.76,Low
Banana,Unripe,115,19.56,70.57,0.225,1.203,560.3,5.23,Low
Tomato,Ripe,116,25.88,66.21,1.359,2.65,463.4,0.08,Low
Brinjal,Semi-Ripe,149,33.2,74.59,1.068,2.716,443.0,3.66,Low
Mango,Semi-Ripe,167,25.26,70.4,0.628,1.961,561.1,5.73,Medium
Onion,Semi-Ripe,170,27.4,70.48,1.134,4.496,574.8,4.99,Medium
Tomato,Ripe,7,31.54,50.64,1.126,3.15,637.5,0.56,Low
Mango,Semi-Ripe,63,35.43,73.91,0.476,3.833,423.9,0.0,Low
Tomato,Ripe,105,24.69,64.03,1.261,3.513,496.4,6.82,Medium
Brinjal,Unripe,129,26.93,66.0,2.312,2.335,423.8,3.71,Low
Banana,Unripe,21,34.29,80.58,0.853,2.286,519.6,5.48,Low
Banana,Unripe,48,20.91,59.37,0.545,2.173,406.6,4.51,Low
Brinjal,Unripe,111,31.11,84.21,0.883,3.249,449.1,2.4,Low
Onion,Unripe,107,22.93,85.33,1.819,1.785,449.7,0.0,Low
Mango,Semi-Ripe,148,27.41,77.03,0.424,4.398,535.2,3.44,Medium
Banana,Unripe,16,26.03,56.23,1.499,1.68,500.4,2.62,Low
Brinjal,Unripe,192,23.17,41.76,0.622,2.736,560.8,5.62,Medium
Onion,Semi-Ripe,72,23.07,80.95,1.185,2.248,487.2,1.36,Low
Tomato,Ripe,132,28.11,69.34,0.674,2.004,430.4,4.4,Low
Banana,Unripe,228,30.98,59.06,0.672,4.89,523.0,5.56,Medium
Onion,Ripe,91,26.48,82.08,2.904,2.017,389.9,5.37,Low
Mango,Semi-Ripe,75,27.28,57.66,0.373,2.165,568.3,2.85,Low
Mango,Unripe,63,29.28,62.91,1.405,1.769,465.7,4.05,Low
Banana,Unripe,157,23.11,74.3,3.36,2.545,524.5,4.9,Medium
Brinjal,Ripe,230,29.96,54.64,1.616,2.389,526.4,6.84,Medium
Brinjal,Semi-Ripe,134,30.28,66.69,0.394,1.269,692.2,2.63,Low
Tomato,Ripe,47,37.41,81.07,0.408,2.033,545.8,0.0,Low
Mango,Semi-Ripe,228,25.5,70.53,0.591,3.171,508.8,4.81,Medium
Onion,Unripe,10,25.17,82.97,1.117,3.63,416.9,2.2,Low
Brinjal,Ripe,98,30.08,81.6,1.171,2.526,596.3,1.59,Low
Banana,Semi-Ripe,30,30.28,68.09,0.411,2.565,467.6,0.15,Low
Banana,Semi-Ripe,8,24.86,39.96,0.543,2.103,316.9,1.56,Low
Onion,Unripe,240,25.39,54.73,0.567,1.947,476.6,5.17,Medium
Onion,Semi-Ripe,20,29.16,77.16,0.881,1.488,523.0,2.91,Low
Banana,Ripe,218,23.69,49.4,4.012,0.788,401.8,1.0,Medium
Mango,Unripe,131,25.36,64.08,0.52,1.727,485.8,0.92,Low
Onion,Semi-Ripe,77,27.36,72.06,0.505,3.494,491.4,5.46,Medium
Mango,Unripe,207,30.98,85.63,0.452,2.033,493.3,4.64,Medium
Banana,Ripe,0,24.58,61.1,1.56,2.119,648.2,2.5,Low
Onion,Ripe,166,19.63,60.28,0.971,2.098,342.6,2.09,Low
Tomato,Ripe,184,19.33,67.37,0.534,3.869,744.1,4.7,Medium
Brinjal,Ripe,87,21.96,72.21,0.776,1.479,496.1,2.87,Low
Brinjal,Ripe,72,21.75,66.15,0.575,2.805,569.6,2.25,Low
Mango,Semi-Ripe,2,26.38,80.59,1.23,2.425,515.3,0.0,Low
Tomato,Ripe,5,22.24,58.41,6.547,2.575,300.0,1.0,Low
Onion,Unripe,10,24.19,69.44,1.471,2.769,373.2,6.17,Low
Brinjal,Unripe,110,23.9,73.34,0.937,2.563,437.1,3.19,Low
Onion,Unripe,127,25.24,63.2,0.628,3.372,619.2,5.45,Low
Mango,Unripe,102,32.29,78.08,0.39,2.468,333.9,3.37,Low
Onion,Unripe,169,29.65,69.79,1.671,4.419,397.3,3.97,Low
Brinjal,Semi-Ripe,87,27.06,77.47,1.609,2.549,519.8,2.4,Low
Mango,Ripe,190,25.16,70.33,0.722,0.626,556.7,7.2,Medium
Banana,Ripe,157,25.27,72.52,2.338,3.202,553.1,5.06,Low
Mango,Semi-Ripe,225,28.31,60.41,1.015,2.931,381.9,3.78,Low
Banana,Unripe,174,29.34,60.43,1.72,2.536,308.2,3.88,Low
Tomato,Unripe,30,23.37,82.69,1.23,2.214,564.7,4.8,Low
Brinjal,Semi-Ripe,134,27.15,75.63,0.883,0.174,672.0,0.0,Low
Banana,Semi-Ripe,158,18.87,55.72,0.513,0.358,458.6,4.95,Low
Brinjal,Ripe,3,27.85,70.17,0.903,4.312,362.6,3.5,Low
Brinjal,Semi-Ripe,10,30.05,39.51,1.803,1.856,448.4,1.27,Low
Brinjal,Unripe,5,25.88,61.11,0.701,3.562,547.3,2.84,Low
Brinjal,Unripe,41,34.27,79.53,1.36,0.737,472.0,3.9,Low
Brinjal,Semi-Ripe,212,23.48,66.5,0.469,1.348,668.9,2.83,Low
Banana,Ripe,57,27.87,69.41,1.726,3.247,611.0,4.7,Medium
Banana,Unripe,44,26.86,31.8,1.245,2.387,522.1,3.56,Low
Brinjal,Unripe,107,26.6,63.29,0.431,3.091,300.0,3.51,Low
Onion,Unripe,95,26.54,72.06,0.855,2.485,416.9,3.83,Low
Banana,Semi-Ripe,239,27.43,73.58,1.919,2.272,434.2,6.64,High
Mango,Unripe,24,30.39,79.55,0.414,1.752,410.4,6.96,Low
Mango,Ripe,202,32.51,65.48,0.473,1.187,522.9,6.02,Medium
Tomato,Ripe,55,26.99,66.01,0.953,4.043,525.4,4.62,Low
Brinjal,Semi-Ripe,74,30.26,52.01,4.452,4.224,300.0,3.74,Low
Brinjal,Unripe,116,24.19,65.55,0.624,1.357,596.6,7.31,Low
Mango,Semi-Ripe,235,30.06,52.86,1.414,1.286,501.9,2.68,Medium
Banana,Semi-Ripe,56,23.95,45.83,1.2,2.117,542.9,0.04,Low
Mango,Ripe,82,31.36,54.98,0.662,2.874,589.4,3.76,Low
Onion,Ripe,158,35.84,86.1,1.119,2.3,408.0,5.58,Medium
Onion,Ripe,161,26.51,64.75,0.731,3.049,651.1,0.0,Low
Onion,Semi-Ripe,88,18.23,70.64,0.778,2.446,483.0,3.55,Low
Onion,Unripe,31,24.81,61.84,0.313,2.374,681.5,2.55,Low
Onion,Semi-Ripe,190,31.93,46.51,0.983,5.154,392.7,6.12,Low
Banana,Ripe,217,29.21,79.23,1.876,1.922,672.6,5.88,Medium
Banana,Semi-Ripe,145,28.0,41.93,1.041,4.304,391.5,0.99,Medium
Mango,Semi-Ripe,210,31.03,61.34,2.145,4.092,805.9,3.08,Medium
Brinjal,Ripe,61,28.94,67.34,1.501,3.055,385.8,1.78,Low
Mango,Semi-Ripe,208,31.87,70.77,0.959,0.381,626.8,6.33,Medium
Mango,Ripe,194,30.68,59.28,0.644,2.534,456.5,5.5,Low
Onion,Semi-Ripe,217,33.09,45.94,0.711,1.934,585.8,3.99,Medium
Tomato,Unripe,224,28.44,58.39,0.357,2.522,495.1,5.45,Medium
Tomato,Semi-Ripe,83,30.62,59.01,0.829,1.331,369.1,1.59,Low
Brinjal,Ripe,28,25.77,58.72,1.108,3.332,300.0,6.53,Low
Brinjal,Ripe,180,24.59,79.64,3.323,3.583,800.9,5.69,Medium
Brinjal,Semi-Ripe,161,33.83,53.44,1.447,3.787,508.8,5.85,Medium
Banana,Unripe,156,27.86,71.61,0.546,2.08,300.0,6.85,Low
Tomato,Semi-Ripe,152,30.22,69.9,0.365,1.335,536.3,6.15,Medium
Mango,Ripe,9,27.49,79.53,0.865,2.887,582.8,2.66,Low
Onion,Semi-Ripe,161,24.65,66.4,1.765,4.432,414.2,4.1,Medium
Brinjal,Semi-Ripe,116,27.04,77.49,0.857,2.576,415.0,6.21,Low
Onion,Ripe,7,32.74,65.93,1.461,2.998,497.6,2.63,Low
Tomato,Semi-Ripe,206,29.22,73.21,0.881,2.242,644.3,3.62,Medium
Mango,Ripe,6,20.15,49.96,1.652,1.946,512.0,6.11,Low
Brinjal,Unripe,56,26.14,36.34,0.327,3.224,675.6,1.49,Low
Tomato,Semi-Ripe,71,34.13,72.53,3.074,2.383,635.7,0.23,Low
Banana,Unripe,188,26.14,73.17,0.459,2.944,472.5,6.54,Medium
Onion,Unripe,19,19.8,73.71,1.743,3.058,311.5,1.41,Low
Tomato,Semi-Ripe,92,34.57,61.7,0.827,2.882,472.8,4.39,Low
Tomato,Semi-Ripe,88,29.73,85.88,0.922,3.114,563.2,6.83,Medium
Brinjal,Unripe,99,26.72,62.48,0.845,1.562,507.2,1.21,Low
Mango,Semi-Ripe,210,25.51,73.05,1.196,1.495,576.1,4.95,Medium
Tomato,Semi-Ripe,78,31.33,75.14,1.377,2.453,603.6,6.11,Low
Banana,Semi-Ripe,85,24.83,88.62,2.098,2.48,563.7,4.75,Low
Brinjal,Ripe,98,31.59,64.2,2.679,1.925,467.0,3.35,Low
Onion,Ripe,94,29.17,60.16,1.261,2.765,562.4,7.93,Low
Tomato,Unripe,229,27.98,50.02,3.319,3.499,768.3,5.08,Medium
Brinjal,Ripe,64,27.58,86.63,1.067,3.806,321.2,3.98,Low
Brinjal,Unripe,27,26.3,73.06,2.126,4.053,558.5,5.79,Low
Brinjal,Ripe,101,31.18,73.44,1.35,1.054,719.8,5.48,Medium
Mango,Semi-Ripe,20,23.54,95.0,0.681,1.221,359.0,5.12,Low
Onion,Ripe,192,20.51,71.9,1.135,2.181,620.1,3.18,Medium
Tomato,Unripe,215,29.46,52.37,1.422,2.588,636.2,7.29,Medium
Brinjal,Semi-Ripe,200,29.52,65.65,0.978,2.238,322.8,5.21,Low
Tomato,Semi-Ripe,193,28.92,56.3,1.335,1.892,585.5,3.47,Low
Brinjal,Unripe,101,28.63,63.25,1.833,2.165,467.4,4.11,Medium
Banana,Semi-Ripe,168,25.72,63.17,0.984,3.032,492.7,4.86,Medium
Tomato,Ripe,95,30.15,60.96,0.127,1.037,461.0,7.0,Low
Tomato,Unripe,205,26.82,51.28,3.237,5.078,657.5,5.65,Medium
Banana,Semi-Ripe,47,25.05,87.11,0.812,2.523,486.5,1.66,Low
Mango,Semi-Ripe,33,25.75,71.59,0.562,3.656,444.4,1.08,Low
Banana,Unripe,235,35.08,65.29,0.455,1.862,446.4,5.23,Medium
Banana,Semi-Ripe,86,20.06,77.09,0.79,3.132,459.1,1.11,Low
Tomato,Unripe,74,29.0,73.65,0.674,2.61,370.5,2.1,Low
Banana,Unripe,161,20.28,71.31,0.597,3.442,443.3,3.99,Medium
Banana,Ripe,82,26.57,76.22,0.62,2.281,514.1,2.72,Low
Mango,Unripe,180,25.27,69.61,1.449,4.207,548.5,5.97,Medium
Mango,Unripe,103,18.66,76.04,4.142,0.859,644.5,2.41,Low
Tomato,Semi-Ripe,188,28.56,77.04,1.776,3.544,528.9,0.31,Medium
Tomato,Ripe,19,25.48,69.95,2.194,2.631,443.1,0.0,Low
Brinjal,Ripe,175,18.6,65.36,0.768,1.38,378.7,4.57,Low
Banana,Semi-Ripe,79,30.36,86.36,1.076,4.647,535.3,2.39,Medium
Onion,Unripe,101,32.74,62.27,1.348,4.534,485.9,1.49,Low
Mango,Unripe,224,32.96,72.7,0.63,0.219,489.9,8.71,Medium
Banana,Ripe,116,28.44,72.97,0.742,2.694,531.5,5.38,Low
Tomato,Ripe,17,27.18,60.69,1.819,3.276,562.3,2.6,Low
Onion,Ripe,110,32.31,58.31,2.145,2.986,532.4,4.24,Low
Brinjal,Ripe,57,33.73,63.75,1.048,4.167,479.5,2.71,Low
Tomato,Semi-Ripe,114,31.53,62.09,0.433,3.938,403.8,1.61,Low
Onion,Unripe,52,23.23,50.5,0.813,2.792,426.5,4.98,Low
Onion,Semi-Ripe,154,27.81,60.18,0.365,5.005,601.8,5.88,Medium
Brinjal,Unripe,56,28.76,71.19,1.054,3.531,449.2,0.0,Low
Onion,Semi-Ripe,112,19.76,83.19,1.196,2.113,338.5,4.25,Low
Tomato,Semi-Ripe,230,28.88,74.65,0.827,1.892,639.1,5.87,Medium
Mango,Ripe,153,36.09,36.81,1.184,3.868,386.9,3.76,Medium
Brinjal,Unripe,170,29.56,75.7,1.339,1.628,504.2,8.32,Medium
Banana,Ripe,186,32.89,61.3,1.197,2.049,558.9,8.31,Medium
Brinjal,Unripe,221,27.73,73.44,0.431,2.236,500.4,4.47,Medium
Onion,Ripe,213,26.71,67.83,0.838,2.891,300.0,4.65,Medium
Mango,Ripe,206,28.53,65.69,1.332,2.287,546.9,4.36,Medium
Onion,Unripe,82,23.74,66.77,3.02,1.051,659.2,2.38,Low
Tomato,Unripe,150,23.14,67.73,0.827,3.778,594.4,2.64,Medium
Banana,Ripe,197,32.07,84.13,1.47,2.055,300.0,5.78,Medium
Banana,Semi-Ripe,134,32.49,67.76,1.849,4.722,755.3,7.64,Medium
Onion,Unripe,30,23.04,81.03,0.871,2.834,340.9,5.65,Low
Banana,Unripe,122,30.87,79.28,2.234,3.894,370.6,5.38,Low
Onion,Semi-Ripe,52,26.65,76.0,2.32,3.194,593.8,0.0,Low
Tomato,Semi-Ripe,166,28.36,46.56,2.628,3.947,554.3,1.14,Low
Onion,Ripe,207,28.84,81.4,1.378,3.127,509.6,6.9,Medium
Tomato,Semi-Ripe,169,30.98,62.51,5.218,2.759,431.7,7.44,Medium
Banana,Semi-Ripe,132,27.33,76.59,0.65,3.703,659.7,5.08,Medium
Banana,Unripe,144,32.64,56.33,4.423,5.235,495.3,3.68,Low
Tomato,Ripe,129,28.24,53.78,1.712,2.203,312.1,6.48,Low
Banana,Ripe,108,29.5,91.72,2.556,3.374,647.9,5.15,Medium
Onion,Semi-Ripe,54,23.67,56.52,0.799,2.494,526.3,5.2,Low
Banana,Ripe,162,35.63,81.75,1.806,3.057,633.8,1.1,Low
Brinjal,Unripe,84,28.88,69.42,2.715,2.546,568.7,4.13,Low
Onion,Semi-Ripe,37,29.85,62.96,0.467,0.126,787.0,6.14,Low
Mango,Ripe,192,20.57,67.46,0.892,2.28,462.8,5.75,Low
Tomato,Ripe,132,23.71,52.39,0.223,3.6,501.9,5.79,Low
Brinjal,Unripe,125,31.95,67.83,0.883,1.658,586.4,4.07,Low
Brinjal,Unripe,125,28.15,55.01,0.565,3.513,463.5,4.19,Low
Tomato,Ripe,18,19.34,63.25,0.859,2.702,596.3,5.24,Low
Mango,Semi-Ripe,128,31.15,79.1,7.741,2.289,300.0,2.83,Low
Mango,Unripe,131,24.82,71.05,3.328,3.496,491.3,2.69,Medium
Brinjal,Ripe,123,32.65,50.21,0.365,3.249,487.6,3.12,Low
Onion,Semi-Ripe,1,26.65,78.22,1.476,2.963,483.3,2.55,Low
Brinjal,Semi-Ripe,180,27.82,67.91,1.749,3.617,394.8,1.76,Low
Mango,Semi-Ripe,147,31.72,61.49,0.789,2.723,608.7,5.58,Medium
Brinjal,Ripe,182,23.41,76.96,1.133,0.691,439.5,4.39,Low
Mango,Semi-Ripe,121,23.03,65.99,1.213,2.084,524.0,5.49,Low
Brinjal,Semi-Ripe,79,26.21,54.01,0.39,0.515,495.5,0.0,Low
Onion,Semi-Ripe,200,30.31,90.17,0.486,3.223,560.0,6.44,Medium
Brinjal,Ripe,84,21.68,67.79,1.128,3.486,671.7,5.91,Medium
Brinjal,Semi-Ripe,109,20.33,67.02,1.072,3.536,523.4,4.6,Low
Brinjal,Unripe,3,30.29,63.14,0.609,3.038,601.0,2.59,Low
Banana,Ripe,39,24.59,82.16,0.573,3.565,517.4,4.53,Low
Tomato,Unripe,27,25.43,61.7,0.939,0.766,439.3,5.11,Low
Onion,Semi-Ripe,102,19.57,49.46,1.859,2.382,483.0,4.67,Low
Mango,Semi-Ripe,63,24.28,59.86,0.948,0.944,466.0,4.33,Low
Onion,Semi-Ripe,80,26.97,83.92,3.114,2.106,568.2,6.44,Low
Onion,Ripe,184,30.72,77.99,0.614,4.278,512.8,6.08,Low
Brinjal,Unripe,164,23.92,64.94,1.145,3.703,404.7,3.03,Medium
Banana,Unripe,192,33.63,84.48,0.78,3.229,473.4,7.08,Medium
Mango,Ripe,196,24.26,76.98,1.509,2.3,316.9,4.63,Low
Tomato,Unripe,59,24.27,64.8,0.579,1.407,477.8,3.27,Low
Onion,Semi-Ripe,148,33.15,66.01,3.854,2.706,500.2,4.47,Low
Onion,Ripe,209,27.85,71.95,0.306,3.722,717.0,6.75,Medium
Brinjal,Ripe,73,24.79,58.02,3.323,2.951,661.8,6.52,Low
Onion,Semi-Ripe,90,26.38,68.05,1.065,0.756,375.9,3.62,Low
Mango,Unripe,128,32.41,71.7,1.472,2.615,524.2,7.15,Low
Banana,Semi-Ripe,192,32.86,47.76,2.545,0.395,526.3,5.1,Low
Tomato,Semi-Ripe,35,23.73,65.73,1.823,3.385,472.3,5.44,Low
Banana,Unripe,112,26.83,64.36,0.6,1.738,480.0,4.2,Low
Onion,Semi-Ripe,58,27.36,80.34,1.522,1.155,457.5,2.31,Low
Mango,Ripe,171,23.06,45.87,3.696,3.4,724.7,8.01,Medium
Banana,Semi-Ripe,58,26.78,63.42,0.537,3.115,450.1,2.14,Low
Banana,Ripe,85,27.02,62.22,4.406,2.756,540.9,2.34,Low
Banana,Ripe,83,31.56,79.52,1.31,4.911,300.0,1.24,Low
Onion,Ripe,17,31.83,67.48,0.738,3.198,598.8,4.99,Low
Banana,Unripe,161,25.68,89.55,0.535,1.791,642.1,7.14,Medium
Mango,Unripe,61,26.14,75.95,0.855,3.071,373.8,3.9,Low
Mango,Ripe,118,29.66,63.08,0.254,2.185,438.6,2.15,Low
Mango,Semi-Ripe,167,24.66,70.88,0.748,3.893,554.2,4.49,Medium
Mango,Ripe,189,29.35,63.75,0.832,2.809,502.3,4.22,Medium
Onion,Semi-Ripe,221,26.65,78.31,0.471,2.918,556.0,3.3,Medium
Banana,Unripe,30,23.12,52.01,1.688,0.913,465.5,1.98,Low
Mango,Ripe,151,23.17,58.12,0.858,2.567,723.6,5.22,Medium
Tomato,Ripe,79,32.79,73.47,0.641,2.438,419.6,2.36,Low
Onion,Ripe,185,26.37,82.71,0.796,1.373,823.0,5.25,Medium
Tomato,Unripe,93,33.56,41.58,1.282,2.256,649.0,0.42,Low
Mango,Ripe,3,24.95,84.49,1.053,2.979,599.9,5.56,Low
Brinjal,Ripe,206,28.16,66.32,0.612,2.495,375.1,4.27,Low
Tomato,Semi-Ripe,183,36.57,45.39,1.092,0.947,609.2,6.26,Medium
Mango,Semi-Ripe,79,22.77,31.98,0.965,2.199,572.5,3.79,Low
Onion,Unripe,201,19.41,49.65,0.45,1.985,300.0,5.64,Low
Tomato,Semi-Ripe,98,32.15,67.76,0.817,2.713,331.4,1.64,Low
Mango,Ripe,99,23.69,67.21,1.5,2.594,542.9,2.32,Low
Tomato,Unripe,72,26.92,75.6,1.493,2.047,484.0,2.04,Low
Brinjal,Semi-Ripe,119,24.66,61.41,0.851,2.004,438.0,3.97,Low
Tomato,Unripe,239,28.07,54.7,1.606,2.574,629.5,7.76,Medium
Tomato,Unripe,12,23.2,63.04,0.504,3.559,393.9,3.42,Low
Banana,Unripe,142,26.28,68.4,0.515,2.807,445.4,2.58,Low
Brinjal,Ripe,42,28.8,70.77,0.839,4.065,422.4,3.16,Low
Onion,Unripe,29,22.97,58.53,2.853,3.747,561.2,2.7,Low
Mango,Unripe,13,24.2,78.82,1.121,4.146,300.0,2.02,Low
Banana,Ripe,65,25.61,60.54,0.825,4.005,440.3,3.25,Low
Onion,Ripe,176,21.28,57.56,2.947,4.219,300.0,5.99,Low
Brinjal,Unripe,177,25.31,61.49,0.818,1.232,462.5,3.33,Medium
Onion,Ripe,192,27.48,80.9,4.779,3.212,586.8,4.18,Medium
Tomato,Semi-Ripe,35,25.4,66.41,0.699,3.84,588.9,4.69,Low
Tomato,Unripe,26,25.91,59.67,0.493,4.039,412.7,3.66,Low
Brinjal,Unripe,236,26.92,79.11,0.89,1.652,564.0,7.63,High
Mango,Ripe,222,24.38,93.71,0.84,3.223,477.8,7.75,Medium
Brinjal,Ripe,168,29.76,70.52,0.568,2.583,663.3,2.07,Medium
Brinjal,Semi-Ripe,202,32.74,82.81,6.18,4.532,484.4,5.44,Medium
Banana,Ripe,193,25.14,80.43,1.25,0.974,300.0,3.9,Medium
Onion,Semi-Ripe,138,28.94,60.73,1.384,1.654,607.4,2.0,Medium
Onion,Unripe,114,26.04,68.32,0.724,0.508,444.9,2.45,Low
Mango,Ripe,235,28.46,52.61,0.667,2.659,467.1,4.78,Medium
Tomato,Unripe,162,33.26,65.54,2.05,4.99,540.3,3.91,Medium
Onion,Ripe,212,29.03,60.49,0.309,2.451,329.0,3.95,Low
Onion,Unripe,49,19.91,63.17,0.449,2.611,509.0,3.06,Low
Onion,Semi-Ripe,53,28.82,59.0,0.841,3.105,564.1,7.54,Low
Tomato,Unripe,151,31.93,64.55,2.575,2.372,543.7,1.21,Low
Brinjal,Ripe,229,26.11,74.39,0.769,2.903,428.1,7.29,Medium
Onion,Unripe,149,30.98,66.57,1.338,2.931,619.0,4.25,Medium
Mango,Semi-Ripe,106,24.24,45.63,1.02,1.57,380.3,2.98,Low
Brinjal,Unripe,5,21.06,59.05,2.478,2.397,424.9,0.0,Low
Banana,Ripe,37,27.56,49.77,0.33,3.316,483.7,4.32,Low
Banana,Semi-Ripe,55,19.97,70.93,1.674,3.521,535.5,0.57,Low
Brinjal,Unripe,48,26.04,74.04,0.87,3.928,461.1,4.57,Low
Banana,Unripe,169,32.15,71.08,1.911,2.869,647.4,7.66,Medium
Brinjal,Semi-Ripe,164,19.36,58.55,0.564,2.891,535.4,2.16,Low
Mango,Ripe,91,21.88,70.96,1.017,3.325,509.1,5.7,Low
Mango,Unripe,238,22.87,62.36,0.931,1.846,531.2,5.4,Medium
Brinjal,Semi-Ripe,94,26.75,54.34,0.496,1.801,587.9,0.0,Low
Banana,Ripe,107,25.54,76.9,0.408,2.363,528.9,1.62,Medium
Mango,Ripe,126,32.6,77.82,0.666,1.097,300.0,4.33,Low
Onion,Ripe,138,30.82,79.39,1.095,2.948,630.7,4.88,Medium
Mango,Ripe,46,28.98,60.7,0.589,3.654,514.4,0.21,Low
Banana,Unripe,72,27.58,82.15,0.794,1.719,582.2,3.42,Low
Mango,Unripe,165,28.57,62.08,0.267,2.979,451.3,5.96,Low
Banana,Semi-Ripe,203,23.55,75.84,0.771,1.808,300.0,6.73,Low
Banana,Ripe,102,30.43,61.87,2.047,1.382,300.0,2.98,Low
Mango,Semi-Ripe,27,22.55,65.31,1.638,4.761,386.7,3.61,Low
Brinjal,Unripe,205,30.34,38.95,0.941,1.398,562.1,6.89,Medium
Tomato,Unripe,140,31.74,64.38,1.186,1.093,655.7,5.71,Medium
Brinjal,Semi-Ripe,105,27.84,69.09,0.56,2.736,536.2,5.36,Low
Tomato,Unripe,141,26.3,63.08,3.118,2.795,373.7,4.4,Low
Mango,Ripe,198,28.6,89.07,4.252,3.234,405.9,4.71,Medium
Banana,Ripe,0,15.55,54.05,1.122,4.701,663.3,2.99,Low
Banana,Ripe,86,28.21,61.24,6.132,1.645,342.7,2.16,Low
